Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid
MS CORP CD 61768EB44,5.3,Oct20'25,,,Oct 18 '23,1.24,Semi-Annual,100.589,4.793200000000001,1.6626790761947632,0.028475988656282425,100.285
DFS CORP CD 254672PB8,3,May20'25,,,May 20 '15,0.82,Semi-Annual,98.44,4.9547,0.8213140368461609,0.006782277,98.28
MS CORP CD 61768ESV6,4.8,May05'25,,,May 03 '23,0.78,Semi-Annual,99.935,4.8762,1.2473424673080444,0.015837866812944412,99.664
WFC CORP CD 949764MH4,5,Aug27'25,,,Feb 27 '24,1.1,Monthly,100.124,4.883,1.0633924007415771,0.011531333,99.965
CBCR CORP CD 31944MDS1,5.1,May14'25,,,May 14 '24,0.81,Monthly,100.239,4.799,0.7946045994758606,0.006394478,99.946
FCNCA CORP CD 319477AL9,4.5,Oct21'24,,,Oct 21 '22,0.25,Semi-Annual,99.8,5.272,0.24657534062862396,0.00060799,99.654
WFC CORP CD 9497632R6,4.35,Oct15'24,,,Oct 14 '22,0.23,Monthly,99.796,5.255,0.3084694445133209,0.00095501,99.644
VLY CORP CD 919853KV2,5,Sep11'25,,,Mar 11 '24,1.14,Semi-Annual,100.167,4.836,1.100765585899353,0.012406596913933754,99.969
BSVBK CORP CD 07371DFN2,3.15,Aug21'24,,,Aug 24 '22,0.08,Semi-Annual,99.826,5.364,0.079452053,0.00006313,99.666
WFC CORP CD 949764FW9,5.4,Mar19'25,,,Sep 19 '23,0.65,Monthly,100.33,4.8913,0.6469652652740479,0.004227769,100.068
AXP CORP CD 02589ADV1,3.35,Sep02'25,,,Aug 31 '22,1.11,Semi-Annual,98.573,4.6692,1.5575149059295654,0.024812901,98.219
MS CORP CD 61768ELK7,3.25,Aug26'24,,,Aug 25 '22,0.09,Semi-Annual,99.792,5.497,0.5823991894721985,0.003431305,99.643
COF CORP CD 14042TFU6,2.95,May05'25,,,May 04 '22,0.78,Semi-Annual,98.433,5.007000000000001,1.4588799476623535,0.021778499707579613,98.283
DFS CORP CD 2546734S2,4.75,May09'25,,,May 10 '23,0.79,Semi-Annual,99.911,4.8729000000000005,0.789768636,0.006294006,99.666
BMO CORP CD 05600XJN1,4.25,Sep30'24,,,Sep 30 '22,0.19,Semi-Annual,99.794,5.298,0.18904109299182892,0.00035737,99.635
